Name,Type,Ingredients,Price
OLEHENRIKSEN,Eye Treatments,"-Vitamin C: Targets visible signs of aging.
-Collagen: Helps improve skin’s youthful elasticity.

Water, Simmondsia Chinensis (Jojoba) Seed Oil, Butyrospermum Parkii (Shea) Butter, Isododecane, Coconut Alkanes, Tetrahexyldecyl Ascorbate, Polyglyceryl-3 ",$39.00 
DRUNK ELEPHANT,Eye Treatments,"-Power Five C Vitamin Complex: A complex of five forms of vitamin C that work together to balance uneven tone and visibly firm.
-Eight Peptide Blend: Eight peptides with the power to improve the appearance of fine lines and wrinkles.
-Cucumber: Antioxidan",$64.00 
KIEHL'S SINCE 1851,Eye Treatments,"-Pure Vitamin C 10%: Visibly smooths lines and brightens the under-eye area.
-Tri-Peptides: Reinforce the under-eye area to reduce the look of brown and blue dark circles.
-Fragmented Hyaluronic Acid: Works to improve the appearance of skin texture and vi",$50.00 
SHISEIDO,Eye Treatments,"-ReNeura Technology+™: Helps improve skin receptivity to awaken and maintain the effectiveness of your treatment over time.
-KOMBU-Bounce Complex: Helps address the causes of wrinkle formation and serves as a natural wrinkle inner-filler.

Water, Hydrog",$70.00 
TATCHA,Eye Treatments,"Clean at Sephora products are formulated without:
Sulfates—SLS + SLES, Parabens, Formaldehydes, Formaldehyde-releasing agents, Phthalates, Mineral Oil, Retinyl Palmitate, Oxybenzone, Coal Tar, Hydroquinone, Triclosan, Triclocarban, Undisclosed synthetic fragrances (Products can be formulated with disclosed synthetic fragrances that meet the following two criteria: (1) the synthetic fragrances do not include any of the ingredients listed in numbers 1 through 12 above and (2) the synthetic fragrances are at a concentration below 1% of the total formula) The following type of acrylates: (ethyl acrylate, ethyl methacrylate, methyl methacrylate, butyl methacrylate, hydroxypropyl methacrylate, tetrahydrofurfuryl methacrylate, trimethylolpropane trimethacrylate , aluminum salts), Animal Oils/Musks/Fats , Benzophenone + Related Compounds, Butoxyethanol, Carbon Black, Lead/Lead Acetate, Methyl Cellosolve + Methoxyethanol, Methylchloroisothiazolinone & Methylisothiazolinone, Mercury + Mercury Compounds (Thimerisol), Insoluble Plastic Microbeads (This prohibited ingredient applies to products that are meant to be rinsed off ), Resorcinol, Talc (Talc that is free of any asbestos can be used in the formulation provided that Brand conducts testing to ensure that talc is free of any asbestos.), Toluene, Butylated hydroxyanisole (BHA), Butylated hydroxytoluene (BHT) that is 0.1% or more of total formula, Ethanolamines DEA/TEA/MEA/ETA, Nanoparticles As defined by the European Commission, Petrolatum and Parrafin that is not USP grade, Phenoxyethanol that is 1% or more of total formulation, Polyacrylamide & Acrylamide, The following types of Styrene (Bromostyrene, Deastyrene/acrylates/dvbcopolymer, sodium styrene/divinylbenzene copolymer , styrene oxide, styrene), 1,4 Dioxane in final formulas must comply with the thresholds as follows: (10 or < ppm for products that are meant to be rinsed off, wiped off or removed, 3ppm or < for products that are meant to remain on the skin).",$60.00 
KIEHL'S SINCE 1851,Eye Treatments,"-Avocado Oil: Helps to restore the natural moisture of the skin with natural sources of amino acid proteins, vitamins A, D, E, and potassium.
-Cocoa Butter: Softens and lubricates skin.
-Shea Butter: Protects skin from dehydration, restores skin's supplen",$32.00 
LA MER,Eye Treatments,"-Clarity Ferment: Helps brighten and reduce the look of dark circles, lines, and wrinkles for a healthy look of vitality and wellness.
-Concentrated Miracle Broth: Delivers essential energy and hydration to the eye area.
-Lime Tea Concentrate: Helps defen",$235.00 
GLOW RECIPE,Eye Treatments,"-Encapsulated Retinol: Helps to improve the look of uneven skin tone, and addresses the damage caused by daily exposure to pollutants and other free radicals. Encapsulation of the retinol allows it to sit on the surface of the skin longer and release smal",$42.00 
ORIGINS,Eye Treatments,"-Coffee: Found in Ethiopia, its energizing properties help wake up, refresh, and restore radiance to tired skin.

Water, Methyl Trimethicone, Butylene Glycol, Peg-100 Stearate, Dimethicone, Cetyl Ricinoleate, Silica, Olea Europaea (Olive) Fruit Oil, Glyce",$32.00 
IT COSMETICS,Eye Treatments,"-Collagen: Supports skin elasticity for a youthful, smooth appearance.
-Cucumber Extract: Has soothing properties and helps reduce the appearance of puffiness.
-Hyaluronic Acid: Locks in moisture, supports the look of skin elasticity, and diminishes the l",$48.00 
SEPHORA COLLECTION,Eye Treatments,"Water, Butylene Glycol, Glycerin, Aloe Barbadensis Leaf Juice, 1,2-Hexanediol, Hydroxyacetophenone, Glycosyl Trehalose, Xanthan Gum, Hydrolyzed Sclerotium Gum, Dipotassium Glycyrrhizate, (Fragrance), Phosphatidylcholine, Phenoxyethano, Polysorbate 80, Vitis Vinifera (Grape) Fruit Extract, Mesembryanthemum Crystallinum Callus Extract, Ascorbyl Palmitate, Citric Acid, Potassium Sorbate, Tocopheryl Acetate, Sodium Benzoate, Astaxanthin.",$5.00 
SHISEIDO,Eye Treatments,"-Skin Brightening Complex with Vitamin C: Boosts skin’s natural radiance.
-Clarity Boosting Complex with Vitamin E: Promotes blood circulation to improve dullness and prevent pigmentation.

Water (Aqua/Eau), Triethylhexanoin, Methyl Methacrylate Crosspo",$28.00 
