Name,Type,Ingredients,Price
DRUNK ELEPHANT,Face Masks,"-25 Percent AHA Blend (glycolic + (T) tartaric, (L) lactic, (C) citric acids): Exfoliates dead surface skin and supports natural surface turnover to visibly smooth and brighten the appearance of skin.
-Gram/Chickpea Flour: Balances and brightens skin’s ",$80.00 
GLAMGLOW,Face Masks,"-Super Six Acid Blend (Lactic Acid, Salicylic Acid, Glycolic Acid, Mandelic Acid, Tartaric Acid, and Pyruvic Acid): Unclogs and minimizes the look of pores.
-Activated-X Charcoal: Attracts dirt, toxins, debris, and impurities from within pores.
-TEAOXI® ",$59.00 
KIEHL'S SINCE 1851,Face Masks,"-Amazonian White Clay: Minimizes the look of pores.

Water, Kaolin, Bentonite, Propanediol, Glycerin, CI 77891/Titanium Dioxide, Caprylic/Capric Triglyceride, Cetearyl Alcohol, Zea Mays Starch/Corn Starch, Phenoxyethanol, Ceteareth-20, Caprylyl Glycol, Xa",$36.00 
SUMMER FRIDAYS,Face Masks,"-Chestnut Extract: Activates the natural exfoliation process, polishing away dullness so skin looks radiant, healthy, and well-rested (even when you’re not).
-Vitamin C: This powerful antioxidant brightens skin tone and behaves like a moisture-magnet, b",$48.00 
YOUTH TO THE PEOPLE,Face Masks,"Water, Glycerin, Helianthus Annuus (Sunflower) Seed Oil, Glyceryl Stearate, Cetyl Alcohol, Betaine, Isopropyl Myristate, Stearic Acid, Opuntia Tuna (Prickly Pear) Extract, Euterpe Oleracea (Acai) Fruit Extract, Lycium Barbarum (Goji) Extract, Aristotelia Chilensis (Maqui) Fruit Extract, Moringa Oleifera Leaf Extract, Tetrahexyldecyl Ascorbate (Vitamin C), Phenoxyethanol, Glyceryl Stearyl Citrate,Tocopheryl Acetate (Vitamin E), Glyceryl Laurate, Squalane Olive, Carbomer, Hyaluronic Acid, Allantoin, Panthenol (Vitamin B5), Ethylhexylglycerin, Xanthan Gum, Natural Fragrance, Riboflavin (Vitamin B2).

Clean at Sephora products are formulated without:
Sulfates—SLS + SLES, Parabens, Formaldehydes, Formaldehyde-releasing agents, Phthalates, Mineral Oil, Retinyl Palmitate, Oxybenzone, Coal Tar, Hydroquinone, Triclosan, Triclocarban, Undisclosed synthetic fragrances (Products can be formulated with disclosed synthetic fragrances that meet the following two criteria: (1) the synthetic fragrances do not include any of the ingredients listed in numbers 1 through 12 above and (2) the synthetic fragrances are at a concentration below 1% of the total formula) The following type of acrylates: (ethyl acrylate, ethyl methacrylate, methyl methacrylate, butyl methacrylate, hydroxypropyl methacrylate, tetrahydrofurfuryl methacrylate, trimethylolpropane trimethacrylate , aluminum salts), Animal Oils/Musks/Fats , Benzophenone + Related Compounds, Butoxyethanol, Carbon Black, Lead/Lead Acetate, Methyl Cellosolve + Methoxyethanol, Methylchloroisothiazolinone & Methylisothiazolinone, Mercury + Mercury Compounds (Thimerisol), Insoluble Plastic Microbeads (This prohibited ingredient applies to products that are meant to be rinsed off ), Resorcinol, Talc (Talc that is free of any asbestos can be used in the formulation provided that Brand conducts testing to ensure that talc is free of any asbestos.), Toluene, Butylated hydroxyanisole (BHA), Butylated hydroxytoluene (BHT) that is 0.1% or more of total formula, Ethanolamines DEA/TEA/MEA/ETA, Nanoparticles As defined by the European Commission, Petrolatum and Parrafin that is not USP grade, Phenoxyethanol that is 1% or more of total formulation, Polyacrylamide & Acrylamide, The following types of Styrene (Bromostyrene, Deastyrene/acrylates/dvbcopolymer, sodium styrene/divinylbenzene copolymer , styrene oxide, styrene), 1,4 Dioxane in final formulas must comply with the thresholds as follows: (10 or < ppm for products that are meant to be rinsed off, wiped off or removed, 3ppm or < for products that are meant to remain on the skin).",$48.00 
PEACE OUT,Face Masks,"-Retinol: Reduces the appearance of fine lines and uneven skin texture.
-Vitamin C: Visibly brightens skin and supports healthy collagen production.
-Peptides: Supports collagen and reduces the look of fine lines and wrinkles.

Sodium Hyaluronate, Cellulo",$28.00 
SEPHORA COLLECTION,Face Masks,"-Green Tea Extract of Natural Origin: Protects skin against environmental pollutants.

Water, Butylene Glycol, Glycerin, Betaine, 1,2-Hexanediol, Hydroxyacetophenone, Xanthan Gum, Lecithin, Salix Alba (Willow) Bark Extract, Kaolin, Parfum (Fragrance), Phe",$6.00 
LANEIGE,Face Masks,"-Sleep-Tox™: Helps calm skin from damage and external stressors that skin suffers during the day; infused with antioxidant-rich Hunza Apricot and Evening Primrose to work overnight to help reduce the look of fatigued skin.
-Hydro Ionized Mineral Water: ",$25.00 
OLEHENRIKSEN,Face Masks,"-Clay: Aids in purifying pores.
-Snow Lotus and Alpine Willow Herb Extracts: Rich in antioxidants to help nourish and condition skin.
-Green Fusion Complex™: A proprietary blend of potent active botanicals—including green tea, eucalyptus, algae (kelp)",$38.00 
THE ORDINARY,Face Masks,"Water, Kaolin, Squalane, Glycerin, Dimethyl Isosorbide, Silica Cetyl Silylate, Salicylic Acid, Sodium Polyacrylate, Pentylene Glycol, Charcoal Powder, 4-t-Butylcyclohexanol, Sclerotium Gum, Acacia Senegal Gum, Xanthan Gum, Phytic Acid, Polysorbate 20, Trisodium Ethylenediamine Disuccinate, Chlorphenesin, Phenoxyethanol.",$12.00 
