Name,Type,Ingredients,Price
SUPERGOOP!,Sun Care,"-Complex Derived from Meadowfoam Seed: Increases hydration levels, resulting in a more even skin texture.
-Red Algae: Helps protect against blue light emitted by electronic devices.
-Frankincense: Provides a soothing effect.

Avobenzone, 3%, Homosalate 8%",$34.00 
SUPERGOOP!,Sun Care,"-Hyaluronic Acid and Vitamin B5: Help boost moisture in the skin, leaving it feeling soft and nurtured.
-Sea Lavender: Provides powerful antioxidant protection while also supporting long-lasting hydration.
-Cocoa Peptides: Help protect the skin from blue-",$36.00 
IT COSMETICS,Sun Care,"-Collagen: Enhances visible elasticity for a youthful, smooth appearance.
-Peptides: Help reduce the appearance of wrinkles and support natural collagen for smoother, firmer-looking skin.
-Hyaluronic Acid: Locks in moisture, supports visible elasticity, a",$39.50 
SHISEIDO,Sun Care,"-HeatForce Technology: A heat-sensing essence in the cream that becomes activated by external heat, forming a stronger barrier.
-WetForce Technology: Negative ions in the formula combine with positive ions in perspiration and water to create an additional",$49.00 
ILIA,Sun Care,"-Plant-Based Squalane 6%: Helps support skin and improves the appearance of elasticity.
-Non-Nano Zinc Oxide 12%: A clean, mineral sunscreen that safely shields skin from UVA, UVB, UVC, blue light, and infrared.
-Macro + Micro Hyaluronic Acids 0.5%: Help ",$46.00 
SHISEIDO,Sun Care,"-Paeonia Albiflora Root Extract: Helps reduce the look of visible pores.
-Scutellaria Baicalensis Extract: Helps promote the appearance of youthful-looking skin.
-Octinoxate 4.9%, Octocrylene 3%, and Zinc Oxide 12.5%: Sunscreen.

Water, Dimethicone, Isodo",$35.00 
LAURA MERCIER,Sun Care,"-Macadamia and Kukui Seed Oils: Help increase the skin's moisture levels long-term for up to 24 hours of hydration, while reducing the signs of visibly dry skin.
-Silica Treated Pigment: Helps create a soft-focus effect for a naturally dewy finish.
-Tamar",$47.00 
NARS,Sun Care,"Water, Dimethicone, Ethylhexyl Methoxycinnamate, Titanium Dioxide, Butylene Glycol, Propanediol, Diethylhexyl Succinate, Glycerin, Nylon-12, Cyclomethicone, Peg-9 Polydimethylsiloxyethyl Dimethicone, Peg-10 Dimethicone, Aluminum Hydroxide, Diphenylsiloxy Phenyl Trimethicone, Disteardimonium Hectorite, Sorbitan Sesquiisostearate, Stearic Acid Phenoxyethanol, Polymethylsilsesquioxane, Fragrance, Dimethicone/Vinyl, Dimethicone Crosspolymer, Trisodium, Edta, Aluminum Distearate, Talc, Ascorbyl Glucoside, Polysilicone-2, Vibrio Alginolyticus Ferment Filtrate, Tocopherol, Alteromonas Ferment Filtrate, Maris Sal (Sea Salt), Hydrogen Dimethicone, Bht, Algae (Algae Extract), Sodium Metabisulfite, Curcuma Longa [Curcuma Longa (Turmeric) Root Extract], Potassium Sorbate, Geraniol, Limonene, Citral, Linalool [+/- (May Contain): Ci 77891 (Titanium Dioxide), Ci 77491 (Iron Oxides), Ci 77492 (Iron Oxides), Ci 77499 (Iron Oxides)].",$45.00 
LAURA MERCIER,Sun Care,,$46.00 
IT COSMETICS,Sun Care,"-Collagen: Supports skin elasticity for a youthful, smooth appearance.
-Peptides: Help reduce the appearance of wrinkles and support natural collagen for the smoother, firmer-looking skin.
-Charcoal: Minimizes the look of pores and cleans your skin by abs",$39.50 
SUPERGOOP!,Sun Care,"-Sunflower Extract: Rich in beta carotene and helps protect your skin from external environmental elements.
-Rosemary Leaf Extract: Has a calming effect on the skin and is rich in antioxidants.

Avobenzone 3%, Homosalate 10%, Octisalate 5%, Water, Polyest",$22.00 
DR. JART+,Sun Care,"-Centella Asiatica Complex: Protects from environmental stressors causing sensitized skin.
-Herbs Complex: Supports skin for a vibrant appearance.
-Minerals Solution and Panthenol: Supports skin's moisture barrier.

Water, Centella Asiatica Leaf Water, Is",$52.00 
IT COSMETICS,Sun Care,"-Collagen: Enhances visible elasticity for a youthful, smooth appearance.
-Peptides: Help reduce the appearance of wrinkles and support natural collagen for smoother, firmer-looking skin.
-Niacin (B Vitamin): Supports skin barrier function and visible ela",$39.50 
SUPERGOOP!,Sun Care,"-Apple Extract: Helps the skin appear smoother and brighter.
-Irish Moss / Red Seaweed Extract: Helps protect against free radicals with vitamins and minerals needed to maintain healthy skin.
-Sodium Hyaluronate: Maintains hydration in the skin.

Titanium",$36.00 
