Name,Type,Ingredients,Price
THE ORDINARY,Treatments,"-Glycolic Acid: Exfoliates the outer layers of the skin.
-Lactic Acid: Exfoliates the outer layers of the skin.
-Salicylic Acid: Exfoliates inside the pores to reduce congestion.

Glycolic Acid, Water, Aloe Barbadensis Leaf Water, Sodium Hydroxide, Daucus",$7.20 
DRUNK ELEPHANT,Treatments,"-Potent Antioxidant Complex (15% L-Ascorbic Acid plus Ferulic Acid and 1% Vitamin E): Firms and brightens the look and feel of skin while minimizing the signs of photoaging from pollution and other environmental stressors.
- Chronocyclin: A chronopeptide ",$80.00 
THE ORDINARY,Treatments,"-Vitamin B5: Hydrates.
-Next-generation Hyaluronic Acid Crosspolymer: A cross-linked form of hyaluronic acid that enhances the delivery of HA actives and helps to support water density.

Water, Sodium Hyaluronate, Pentylene Glycol, Propanediol, Sodium Hya",$6.80 
THE ORDINARY,Treatments,"-Niacinamide (Vitamin B3): Reduces the appearance of skin blemishes and signs of congestion; brightens skin tone.
-Zinc PCA: Visibly regulates excess sebum activity.

Water, Niacinamide, Pentylene Glycol, Zinc PCA, Tamarindus Indica Seed Gum, Xanthan Gum,",$5.90 
DR. DENNIS GROSS SKINCARE,Treatments,"-Glycolic Acid (AHA): Reduces visible signs of aging.
-Salicylic Acid (BHA): Reduces pore blockages and supports natural collagen.
-Lactic Acid (AHA): A naturally occurring alpha hydroxy acid that supports natural cell renewal.

Step One:
Water, Alcohol D",$88.00 
DRUNK ELEPHANT,Treatments,"-One-Percent Retinol: A pure form of vegan retinol, one of the most well-researched ingredients in skincare, capable of bringing balance to any skin concern. At a one percent concentration, retinol can dramatically improve the look and feel of uneven skin",$74.00 
DRUNK ELEPHANT,Treatments,"-T.L.C. Framboos™ AHA Blend: (G) glycolic plus (T) tartaric, (L) lactic, and (C) citric acids) exfoliates built-up dead skin cells, resurfacing dull, uneven skin for a smoother, brighter, more even-looking complexion.
-Salicylic Acid (BHA): Loosens sebu",$90.00 
THE ORDINARY,Treatments,"-Matrixyl 3000 and Matrixyl Synthe'6 Peptide Complexes: Help to reduce the look of lines, wrinkles, and surface irregularities.
-Hyaluronic Acid: Supports hydration and acts as a delivery system to enhance skin exposure to actives.
-Syn-Ake Peptide Comple",$14.80 
DRUNK ELEPHANT,Treatments,"-25 Percent AHA Blend (glycolic + (T) tartaric, (L) lactic, (C) citric acids): Exfoliates dead surface skin and supports natural surface turnover to visibly smooth and brighten the appearance of skin.
-Gram/Chickpea Flour: Balances and brightens skin’s ",$80.00 
GLAMGLOW,Treatments,"-Super Six Acid Blend (Lactic Acid, Salicylic Acid, Glycolic Acid, Mandelic Acid, Tartaric Acid, and Pyruvic Acid): Unclogs and minimizes the look of pores.
-Activated-X Charcoal: Attracts dirt, toxins, debris, and impurities from within pores.
-TEAOXI® ",$59.00 
DR. DENNIS GROSS SKINCARE,Treatments,"-Glycolic Acid (AHA): Reduces visible signs of aging.
-Salicylic Acid (BHA): Reduces pore blockages and supports natural collagen.
-Lactic Acid (AHA): Supports natural cell renewal.

Step One:
Water, Alcohol Denat. (SD Alcohol 40-B), Glycolic Acid, Potass",$88.00 
OLEHENRIKSEN,Treatments,-Vitamin C (Ethyl Ascorbic Acid) 15%: A potent next-generation vitamin C derivative with superior stability and antioxidant capacity versus traditional vitamin C; this powerful antioxidant helps brighten skin and visibly reduce the appearance of fine line,$65.00 
DRUNK ELEPHANT,Treatments,"-Pro-Vitamin B5: A humectant that attracts and holds hydration to the skin and helps to improve skin’s barrier function.
-Pineapple Ceramide: Helps to support natural luminosity and improve the appearance of skin texture and tone.
-Sodium Hyaluronate: W",$48.00 
SUNDAY RILEY,Treatments,"Botanical Blend [ Aqua, Opuntia Tuna Fruit Extract, Cypripedium Pubescens Extract, Opuntia Vulgaris Leaf Extract, Agave Tequilana Leaf Extract, Arnica Montana Flower Extract, Aloe Barbadensis Leaf Extract, Saccharomyces Cerevisiae (Yeast) Extract, Leuconostoc/Radish Root Ferment Filtrate], Caprylic/Capric Triglyceride, Squalane, Lactic Acid, PPG-12 / SMDI Copolymer, Propanediol, Butylene Glycol, Stearic Acid, Dimethicone, Cetearyl Alcohol, Phenyl Trimethicone, Disiloxane, Ceteareth-20, Glyceryl Stearate, PEG-100 Stearate, Stearyl Glycyrrhetinate, Glycyrrhiza Glabra Root Extract, Cymbopogon Schoenanthus (Lemongrass) Oil, Potassium Hydroxide, Phenoxyethanol, Xanthan gum, Caprylyl Glycol, Chlorphenesin, Sodium Phytate.",$122.00 
